meta_rxn_id,wilcox_stat,wilcox_pval,cohens_d,adjusted_pval
650,759.0,0.5564352065527702,0.09460566464712704,0.6321957171607482
651,743.0,0.6755162125502503,0.05878416689435194,0.7438900508480976
652,810.0,0.2590658118524146,0.3432657546205287,0.3417760019756721
653,836.0,0.1602804049965988,0.2932061628915291,0.23329552598573525
654,773.0,0.46142314563649234,0.12526654617025682,0.5432783474994043
655,727.0,0.8033343109803661,0.04710370444235019,0.84823813303148
656,767.0,0.5009967526859075,0.1274513418484984,0.5815080471756077
657,753.0,0.5998880960674458,0.12388224755339543,0.6735516898366684
658,780.0,0.417546091741373,0.17169613036658343,0.5012302595694275
659,776.0,0.4423107190234574,0.20737828653106707,0.5254541299248952
660,812.0,0.25022778176578997,0.2892610552958974,0.3318993494254575
661,787.0,0.37622876043890485,0.20767972960149822,0.46063905925532583
662,777.0,0.4360420030762193,0.17141571388543395,0.5194429683215669
663,777.0,0.4360420030762193,0.167265972078114,0.5194429683215669
664,774.0,0.45500159379683924,0.19408066215243516,0.5371893816873398
665,782.0,0.4054765303627865,0.09975824057831775,0.48947623293091996
666,813.0,0.24588863383026915,0.2030227520235287,0.32690066632191234
667,791.0,0.35379411297596197,0.21006957517044522,0.44038528617355444
668,805.0,0.28209907859541616,0.11985230087668249,0.36488210391687015
669,823.0,0.2053822551043344,0.21560973478078393,0.2844900052573335
670,752.0,0.6072769909202209,0.054743189823700196,0.6805144376739634
671,799.0,0.311522426692577,0.17934663765112904,0.3963782764504366
672,733.0,0.754571337448461,0.033973261749556886,0.8086709034126587
673,777.0,0.4360420030762193,0.13986843192023962,0.5194429683215669
674,785.0,0.3877681701660498,0.1643904080813416,0.4727471521386096
675,813.0,0.24588863383026915,0.2029105849491119,0.32690066632191234
676,852.0,0.11556044642372719,0.4321312792876645,0.18042543814930703
677,849.0,0.12309966366140256,0.36108936811007164,0.18944343942162128
